student_name,father_name,student_id,email,phone_no,address,city
James,Butt,1,jbutt@gmail.com,504-621-8927,6649 N Blue Gum St,New Orleans
Josephine,Darakjy,2,josephine_darakjy@darakjy.org,810-292-9388,4 B Blue Ridge Blvd,Brighton
Art,Venere,3,art@venere.org,856-636-8749,8 W Cerritos Ave #54,Bridgeport
Lenna,Paprocki,4,lpaprocki@hotmail.com,907-385-4412,639 Main St,Anchorage
Donette,Foller,5,donette.foller@cox.net,513-570-1893,34 Center St,Hamilton
Simona,Morasca,6,simona@morasca.com,419-503-2484,3 Mcauley Dr,Ashland
Mitsue,Tollner,7,mitsue_tollner@yahoo.com,773-573-6914,7 Eads St,Chicago
Leota,Dilliard,8,leota@hotmail.com,408-752-3500,7 W Jackson Blvd,San Jose
Sage,Wieser,9,sage_wieser@cox.net,605-414-2147,5 Boston Ave #88,Sioux Falls
Kris,Marrier,10,kris@gmail.com,410-655-8723,228 Runamuck Pl #2808,Baltimore
Minna,Amigon,11,minna_amigon@yahoo.com,215-874-1229,2371 Jerrold Ave,Kulpsville
Abel,Maclead,12,amaclead@gmail.com,631-335-3414,37275 St  Rt 17m M,Middle Island
Kiley,Caldarera,13,kiley.caldarera@aol.com,310-498-5651,25 E 75th St #69,Los Angeles
Graciela,Ruta,14,gruta@cox.net,440-780-8425,98 Connecticut Ave Nw,Chagrin Falls
Cammy,Albares,15,calbares@gmail.com,956-537-6195,56 E Morehead St,Laredo
Mattie,Poquette,16,mattie@aol.com,602-277-4385,73 State Road 434 E,Phoenix
Meaghan,Garufi,17,meaghan@hotmail.com,931-313-9635,69734 E Carrillo St,Mc Minnville
Gladys,Rim,18,gladys.rim@rim.org,414-661-9598,322 New Horizon Blvd,Milwaukee
Yuki,Whobrey,19,yuki_whobrey@aol.com,313-288-7937,1 State Route 27,Taylor
Fletcher,Flosi,20,fletcher.flosi@yahoo.com,815-828-2147,394 Manchester Blvd,Rockford
Bette,Nicka,21,bette_nicka@cox.net,610-545-3615,6 S 33rd St,Aston
Veronika,Inouye,22,vinouye@aol.com,408-540-1785,6 Greenleaf Ave,San Jose
